name,collection,severity,polygons,vertices,dimensions,location,material_count,materials,issues,recommendation
node_0.067,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-10.274, 12.023, 0.155",1,Material.030,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.068,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-6.423, 13.723, -0.151",1,Material.036,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.069,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-4.296, 14.287, -0.151",1,Material.057,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.070,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-2.098, 14.624, -0.151",1,Material.062,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.071,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"0.181, 14.742, -0.151",1,Material.068,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.072,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"2.277, 14.659, -0.151",1,Material.080,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.073,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"4.458, 14.327, -0.151",1,Material.085,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.074,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"6.081, 13.7, -0.151",1,Material.088,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.075,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"8.592, 12.337, -0.151",1,Material.089,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.076,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"10.511, 11.46, -0.151",1,Material.090,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.077,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"12.406, 10.392, -0.151",1,Material.091,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.078,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"14.122, 9.089, -0.129",1,Material.092,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.079,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"15.705, 7.61, -0.067",1,Material.093,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.080,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"16.645, 5.67, -0.009",1,Material.094,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.081,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"16.495, 3.578, -0.011",1,Material.095,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.082,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"18.023, 0.474, -0.015",1,Material.096,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.083,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"18.793, -0.597, -0.029",1,Material.097,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.084,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"18.673, -2.361, -0.06",1,Material.098,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.085,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"18.272, -4.5, -0.032",1,Material.099,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
